40-60,11 am to 2 pm,No,No,Object Oriented Programming,Yes,Yes
60-80,9 am to 12 pm,No,No,"Algorithm, Object Oriented Programming",Depends on this workshop,Yes
40-60,11 am to 2 pm,Yes,No,"Algorithm, Object Oriented Programming",Yes,Yes
100+,9 am to 12 pm,No,No,"Artificial Intelligence, Pattern Recognition, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
60-80,11 am to 2 pm,No,No,"Artificial Intelligence, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
60-80,9 am to 12 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,11 am to 2 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
40-60,1 pm to 3pm,No,No,"Pattern Recognition, Machine Learning, Algorithm, Object Oriented Programming",Yes,Yes
60-80,9 am to 12 pm,Yes,No,"Algorithm, Object Oriented Programming",Yes,Yes
80-100,9 am to 12 pm,Yes,No,"Algorithm, Object Oriented Programming",Depends on this workshop,Yes
100+,1 pm to 3pm,Yes,Yes,"Artificial Intelligence, Pattern Recognition, Algorithm, Object Oriented Programming",Yes,No
100+,10 am to 1 pm,Yes,Yes,Machine Learning,Yes,No
40-60,9 am to 12 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
Under 40,1 pm to 3pm,Yes,No,Algorithm,Yes,Yes
60-80,9 am to 12 pm,Yes,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,1 pm to 3pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,11 am to 2 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
Under 40,10 am to 1 pm,Yes,No,Object Oriented Programming,Yes,Yes
80-100,11 am to 2 pm,No,No,"Artificial Intelligence, Algorithm, Object Oriented Programming",Depends on this workshop,No
80-100,1 pm to 3pm,Yes,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,10 am to 1 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
100+,11 am to 2 pm,Yes,No,"Artificial Intelligence, Pattern Recognition, Machine Learning, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
80-100,11 am to 2 pm,Yes,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,10 am to 1 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,9 am to 12 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,11 am to 2 pm,No,No,Object Oriented Programming,Yes,Yes
80-100,9 am to 12 pm,Yes,No,"Algorithm, Object Oriented Programming",Depends on this workshop,Yes
60-80,10 am to 1 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
100+,11 am to 2 pm,Yes,Yes,"Artificial Intelligence, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
80-100,10 am to 1 pm,No,No,"Algorithm, Object Oriented Programming",Depends on this workshop,Yes
100+,9 am to 12 pm,Yes,Yes,"Machine Learning, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
100+,11 am to 2 pm,Yes,Yes,"Artificial Intelligence, Machine Learning, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
100+,9 am to 12 pm,No,No,"Artificial Intelligence, Pattern Recognition, Machine Learning, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
Under 40,9 am to 12 pm,No,No,Object Oriented Programming,No,Yes
100+,1 pm to 3pm,Yes,No,Object Oriented Programming,Yes,Yes
40-60,10 am to 1 pm,No,No,Object Oriented Programming,Yes,Yes
100+,11 am to 2 pm,Yes,Yes,"Artificial Intelligence, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
100+,11 am to 2 pm,Yes,No,"Artificial Intelligence, Pattern Recognition, Algorithm, Object Oriented Programming",Yes,Yes
80-100,11 am to 2 pm,No,No,"Artificial Intelligence, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
80-100,11 am to 2 pm,No,No,"Algorithm, Object Oriented Programming",Depends on this workshop,Yes
60-80,11 am to 2 pm,Yes,No,"Algorithm, Object Oriented Programming",Depends on this workshop,Yes
80-100,11 am to 2 pm,No,No,"Algorithm, Object Oriented Programming",Depends on this workshop,No
60-80,9 am to 12 pm,No,No,"Algorithm, Object Oriented Programming",Depends on this workshop,Yes
80-100,10 am to 1 pm,Yes,No,"Algorithm, Object Oriented Programming",Depends on this workshop,No
100+,10 am to 1 pm,No,No,"Artificial Intelligence, Algorithm, Object Oriented Programming",Depends on this workshop,Yes
100+,10 am to 1 pm,No,No,"Artificial Intelligence, Algorithm, Object Oriented Programming",Yes,Yes
80-100,10 am to 1 pm,No,No,"Algorithm, Object Oriented Programming",Depends on this workshop,Yes
60-80,10 am to 1 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,10 am to 1 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,11 am to 2 pm,Yes,No,"Algorithm, Object Oriented Programming",Yes,Yes
Under 40,11 am to 2 pm,No,No,Object Oriented Programming,Yes,Yes
40-60,1 pm to 3pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
60-80,10 am to 1 pm,No,No,"Algorithm, Object Oriented Programming",Yes,Yes
80-100,10 am to 1 pm,Yes,No,"Artificial Intelligence, Algorithm, Object Oriented Programming",Yes,Yes
60-80,10 am to 1 pm,No,No,"Algorithm, Object Oriented Programming",Depends on this workshop,Yes
